,Train Accuracy,Validation Accuracy,Test Accuracy,Validation Log Loss,Validation ROC AUC
LogisticRegression,0.9973223032076262,0.9972813226868588,0.9972813226868588,0.015048535039489866,0.9989488793796634
RandomForest,0.9974215570774482,0.9973820144391973,0.9973417377382618,0.023336145056663305,0.9988409475046263
GradientBoosting,0.9974215570774482,0.9973820144391973,0.9973417377382618,0.014116799877491037,0.9989669907481145
KNN,0.997419399384626,0.9973820144391973,0.9973417377382618,0.08322428797767606,0.9980079253612665
AdaBoost,0.9973223032076262,0.9972813226868588,0.9972813226868588,0.25683844261933236,0.9988707357048685
